player,trial,stone_type,result,result_N,result_R,result_SR,result_SSR
3,32,Free,N,1,0,0,0
3,33,Paid,R,0,1,0,0
3,34,Paid,SR,0,0,1,0
3,35,Free,N,1,0,0,0
3,36,Free,N,1,0,0,0
3,37,Free,N,1,0,0,0
3,38,Free,R,0,1,0,0
3,39,Paid,N,1,0,0,0
3,40,Free,SR,0,0,1,0
3,41,Paid,SR,0,0,1,0
3,42,Free,N,1,0,0,0
3,43,Free,N,1,0,0,0
3,44,Free,SSR,0,0,0,1
3,45,Free,N,1,0,0,0
3,46,Free,N,1,0,0,0
3,47,Free,N,1,0,0,0
3,48,Free,R,0,1,0,0
3,49,Free,N,1,0,0,0
3,50,Paid,N,1,0,0,0
3,51,Paid,N,1,0,0,0
3,52,Free,SR,0,0,1,0
3,53,Free,N,1,0,0,0
3,54,Paid,SR,0,0,1,0
3,55,Free,N,1,0,0,0
3,56,Free,N,1,0,0,0
3,57,Free,N,1,0,0,0
3,58,Free,N,1,0,0,0
3,59,Free,N,1,0,0,0
3,60,Paid,SR,0,0,1,0
3,61,Free,R,0,1,0,0
3,62,Paid,R,0,1,0,0
3,63,Free,R,0,1,0,0
3,64,Free,SSR,0,0,0,1
3,65,Free,N,1,0,0,0
4,1,Paid,SR,0,0,1,0
4,2,Paid,SSR,0,0,0,1
4,3,Paid,SR,0,0,1,0
4,4,Free,R,0,1,0,0
4,5,Free,N,1,0,0,0
4,6,Paid,N,1,0,0,0
4,7,Free,SR,0,0,1,0
4,8,Free,N,1,0,0,0
4,9,Paid,R,0,1,0,0
4,10,Paid,R,0,1,0,0
4,11,Paid,N,1,0,0,0
4,12,Free,N,1,0,0,0
4,13,Paid,N,1,0,0,0
4,14,Free,N,1,0,0,0
4,15,Paid,N,1,0,0,0
4,16,Free,R,0,1,0,0
4,17,Paid,N,1,0,0,0
4,18,Free,N,1,0,0,0
4,19,Free,N,1,0,0,0
4,20,Free,N,1,0,0,0
4,21,Free,SR,0,0,1,0
4,22,Paid,N,1,0,0,0
4,23,Free,N,1,0,0,0
4,24,Free,SSR,0,0,0,1
4,25,Free,N,1,0,0,0
4,26,Paid,SR,0,0,1,0
4,27,Paid,R,0,1,0,0
4,28,Free,N,1,0,0,0
4,29,Free,R,0,1,0,0
4,30,Paid,N,1,0,0,0
4,31,Paid,N,1,0,0,0
4,32,Paid,N,1,0,0,0
4,33,Paid,N,1,0,0,0
4,34,Paid,R,0,1,0,0
4,35,Free,N,1,0,0,0
4,36,Free,SR,0,0,1,0
4,37,Paid,N,1,0,0,0
4,38,Free,SR,0,0,1,0
4,39,Free,R,0,1,0,0
4,40,Free,SR,0,0,1,0
4,41,Free,N,1,0,0,0
4,42,Free,SSR,0,0,0,1
4,43,Free,SSR,0,0,0,1
4,44,Paid,N,1,0,0,0
4,45,Free,N,1,0,0,0
5,1,Paid,SR,0,0,1,0
5,2,Free,N,1,0,0,0
5,3,Free,SR,0,0,1,0
5,4,Free,N,1,0,0,0
5,5,Free,N,1,0,0,0
5,6,Free,R,0,1,0,0
5,7,Paid,N,1,0,0,0
5,8,Paid,SR,0,0,1,0
5,9,Free,R,0,1,0,0
6,1,Free,SSR,0,0,0,1
6,2,Paid,N,1,0,0,0
6,3,Free,SSR,0,0,0,1
6,4,Free,N,1,0,0,0
6,5,Paid,N,1,0,0,0
6,6,Free,R,0,1,0,0
6,7,Paid,SR,0,0,1,0
6,8,Paid,N,1,0,0,0
6,9,Free,N,1,0,0,0
6,10,Free,N,1,0,0,0
6,11,Paid,N,1,0,0,0
6,12,Free,R,0,1,0,0
6,13,Free,N,1,0,0,0
6,14,Free,R,0,1,0,0
6,15,Free,N,1,0,0,0
6,16,Free,R,0,1,0,0
6,17,Paid,N,1,0,0,0
6,18,Paid,SR,0,0,1,0
6,19,Free,N,1,0,0,0
6,20,Free,R,0,1,0,0
6,21,Free,SSR,0,0,0,1
6,22,Free,N,1,0,0,0
6,23,Paid,N,1,0,0,0
6,24,Paid,N,1,0,0,0
6,25,Free,SR,0,0,1,0
6,26,Paid,N,1,0,0,0
6,27,Free,SSR,0,0,0,1
6,28,Free,N,1,0,0,0
6,29,Paid,N,1,0,0,0
6,30,Free,N,1,0,0,0
6,31,Free,N,1,0,0,0
6,32,Free,N,1,0,0,0
6,33,Free,R,0,1,0,0
6,34,Paid,R,0,1,0,0
6,35,Free,N,1,0,0,0
6,36,Free,R,0,1,0,0
6,37,Free,N,1,0,0,0
6,38,Paid,SSR,0,0,0,1
6,39,Free,N,1,0,0,0
6,40,Free,N,1,0,0,0
6,41,Free,N,1,0,0,0
6,42,Paid,R,0,1,0,0
6,43,Free,N,1,0,0,0
6,44,Free,R,0,1,0,0
6,45,Free,SR,0,0,1,0
6,46,Free,SR,0,0,1,0
6,47,Paid,N,1,0,0,0
6,48,Free,N,1,0,0,0
6,49,Free,R,0,1,0,0
6,50,Free,N,1,0,0,0
6,51,Paid,SR,0,0,1,0
6,52,Free,SR,0,0,1,0
6,53,Paid,R,0,1,0,0
6,54,Free,R,0,1,0,0
6,55,Paid,SR,0,0,1,0
6,56,Free,N,1,0,0,0
6,57,Free,SR,0,0,1,0
6,58,Paid,N,1,0,0,0
6,59,Free,R,0,1,0,0
7,1,Paid,N,1,0,0,0
7,2,Free,SR,0,0,1,0
7,3,Paid,R,0,1,0,0
7,4,Free,N,1,0,0,0
7,5,Free,R,0,1,0,0
7,6,Paid,SR,0,0,1,0
7,7,Paid,N,1,0,0,0
7,8,Free,R,0,1,0,0
7,9,Free,N,1,0,0,0
7,10,Free,SSR,0,0,0,1
7,11,Paid,R,0,1,0,0
7,12,Paid,N,1,0,0,0
7,13,Paid,R,0,1,0,0
7,14,Free,N,1,0,0,0
7,15,Paid,N,1,0,0,0
7,16,Free,N,1,0,0,0
7,17,Free,N,1,0,0,0
7,18,Paid,R,0,1,0,0
7,19,Free,N,1,0,0,0
7,20,Free,N,1,0,0,0
7,21,Free,N,1,0,0,0
7,22,Free,N,1,0,0,0
7,23,Free,N,1,0,0,0
7,24,Paid,R,0,1,0,0
7,25,Free,N,1,0,0,0
7,26,Paid,N,1,0,0,0
7,27,Free,N,1,0,0,0
7,28,Free,R,0,1,0,0
7,29,Free,SR,0,0,1,0
7,30,Free,N,1,0,0,0
7,31,Free,N,1,0,0,0
7,32,Paid,SR,0,0,1,0
7,33,Free,N,1,0,0,0
7,34,Paid,N,1,0,0,0
7,35,Free,R,0,1,0,0
7,36,Free,SR,0,0,1,0
7,37,Free,R,0,1,0,0
7,38,Free,R,0,1,0,0
7,39,Free,N,1,0,0,0
7,40,Free,N,1,0,0,0
7,41,Free,N,1,0,0,0
7,42,Free,N,1,0,0,0
7,43,Free,N,1,0,0,0
7,44,Free,N,1,0,0,0
7,45,Paid,N,1,0,0,0
7,46,Free,R,0,1,0,0
7,47,Free,N,1,0,0,0
7,48,Paid,N,1,0,0,0
7,49,Free,SR,0,0,1,0
7,50,Free,SR,0,0,1,0
7,51,Free,SSR,0,0,0,1
7,52,Free,R,0,1,0,0
7,53,Free,N,1,0,0,0
7,54,Free,N,1,0,0,0
7,55,Free,R,0,1,0,0
7,56,Free,N,1,0,0,0
7,57,Free,N,1,0,0,0
7,58,Paid,N,1,0,0,0
7,59,Paid,N,1,0,0,0
7,60,Free,N,1,0,0,0
7,61,Free,N,1,0,0,0
7,62,Free,R,0,1,0,0
7,63,Paid,N,1,0,0,0
7,64,Free,N,1,0,0,0
7,65,Free,R,0,1,0,0
7,66,Free,R,0,1,0,0
7,67,Free,R,0,1,0,0
7,68,Free,N,1,0,0,0
7,69,Free,R,0,1,0,0
7,70,Paid,R,0,1,0,0
7,71,Free,R,0,1,0,0
8,1,Paid,N,1,0,0,0
8,2,Free,N,1,0,0,0
8,3,Free,N,1,0,0,0
8,4,Free,N,1,0,0,0
8,5,Paid,SR,0,0,1,0
8,6,Free,R,0,1,0,0
8,7,Free,SR,0,0,1,0
8,8,Paid,R,0,1,0,0
8,9,Paid,R,0,1,0,0
8,10,Paid,N,1,0,0,0
8,11,Free,N,1,0,0,0
8,12,Free,N,1,0,0,0
8,13,Paid,SR,0,0,1,0
8,14,Free,R,0,1,0,0
8,15,Paid,N,1,0,0,0
8,16,Free,SSR,0,0,0,1
8,17,Free,R,0,1,0,0
8,18,Free,N,1,0,0,0
8,19,Free,N,1,0,0,0
8,20,Free,R,0,1,0,0
8,21,Free,R,0,1,0,0
8,22,Paid,N,1,0,0,0
8,23,Free,N,1,0,0,0
8,24,Paid,N,1,0,0,0
8,25,Paid,R,0,1,0,0
8,26,Paid,N,1,0,0,0
8,27,Paid,SR,0,0,1,0
8,28,Free,SR,0,0,1,0
8,29,Free,N,1,0,0,0
8,30,Free,R,0,1,0,0
8,31,Paid,SR,0,0,1,0
8,32,Paid,R,0,1,0,0
8,33,Paid,N,1,0,0,0
8,34,Paid,N,1,0,0,0
8,35,Free,N,1,0,0,0
8,36,Free,R,0,1,0,0
8,37,Free,SR,0,0,1,0
8,38,Paid,SSR,0,0,0,1
8,39,Free,N,1,0,0,0
8,40,Free,SSR,0,0,0,1
8,41,Free,SR,0,0,1,0
8,42,Free,R,0,1,0,0
8,43,Free,N,1,0,0,0
8,44,Free,SR,0,0,1,0
8,45,Free,N,1,0,0,0
8,46,Paid,SSR,0,0,0,1
8,47,Free,N,1,0,0,0
8,48,Free,N,1,0,0,0
8,49,Free,N,1,0,0,0
8,50,Free,N,1,0,0,0
8,51,Free,R,0,1,0,0
8,52,Free,N,1,0,0,0
8,53,Paid,SSR,0,0,0,1
8,54,Free,R,0,1,0,0
9,1,Paid,R,0,1,0,0
9,2,Paid,N,1,0,0,0
9,3,Free,R,0,1,0,0
9,4,Paid,R,0,1,0,0
9,5,Free,N,1,0,0,0
9,6,Paid,N,1,0,0,0
9,7,Paid,N,1,0,0,0
9,8,Free,N,1,0,0,0
9,9,Paid,R,0,1,0,0
9,10,Paid,SSR,0,0,0,1
9,11,Free,N,1,0,0,0
9,12,Paid,SR,0,0,1,0
9,13,Free,R,0,1,0,0
9,14,Free,N,1,0,0,0
9,15,Free,N,1,0,0,0
9,16,Paid,R,0,1,0,0
9,17,Free,N,1,0,0,0
9,18,Free,N,1,0,0,0
9,19,Free,N,1,0,0,0
9,20,Free,SR,0,0,1,0
9,21,Free,N,1,0,0,0
9,22,Paid,N,1,0,0,0
9,23,Free,N,1,0,0,0
9,24,Free,N,1,0,0,0
9,25,Paid,N,1,0,0,0
9,26,Free,SR,0,0,1,0
9,27,Free,SR,0,0,1,0
9,28,Free,N,1,0,0,0
9,29,Free,SR,0,0,1,0
9,30,Free,R,0,1,0,0
9,31,Free,N,1,0,0,0
9,32,Free,R,0,1,0,0
9,33,Paid,SSR,0,0,0,1
9,34,Free,SR,0,0,1,0
9,35,Free,N,1,0,0,0
9,36,Free,N,1,0,0,0
9,37,Free,SR,0,0,1,0
9,38,Free,N,1,0,0,0
9,39,Paid,N,1,0,0,0
9,40,Free,SR,0,0,1,0
9,41,Free,N,1,0,0,0
9,42,Paid,R,0,1,0,0
9,43,Paid,R,0,1,0,0
9,44,Paid,N,1,0,0,0
9,45,Free,N,1,0,0,0
9,46,Free,N,1,0,0,0
9,47,Free,R,0,1,0,0
9,48,Paid,N,1,0,0,0
9,49,Free,N,1,0,0,0
9,50,Free,N,1,0,0,0
9,51,Paid,SR,0,0,1,0
9,52,Paid,N,1,0,0,0
9,53,Free,N,1,0,0,0
9,54,Paid,R,0,1,0,0
9,55,Free,N,1,0,0,0
9,56,Free,SSR,0,0,0,1
10,1,Paid,R,0,1,0,0
10,2,Paid,N,1,0,0,0
10,3,Free,SR,0,0,1,0
10,4,Free,N,1,0,0,0
10,5,Free,N,1,0,0,0
10,6,Free,N,1,0,0,0
10,7,Free,N,1,0,0,0
10,8,Paid,R,0,1,0,0
10,9,Free,N,1,0,0,0
10,10,Free,N,1,0,0,0
10,11,Paid,N,1,0,0,0
10,12,Free,N,1,0,0,0
10,13,Free,N,1,0,0,0
10,14,Free,N,1,0,0,0
10,15,Paid,SR,0,0,1,0
10,16,Free,N,1,0,0,0
10,17,Free,N,1,0,0,0
10,18,Paid,R,0,1,0,0
10,19,Free,N,1,0,0,0
10,20,Free,N,1,0,0,0
10,21,Paid,SSR,0,0,0,1
10,22,Free,N,1,0,0,0
10,23,Free,N,1,0,0,0
10,24,Free,SR,0,0,1,0
10,25,Free,SR,0,0,1,0
10,26,Free,N,1,0,0,0
10,27,Free,R,0,1,0,0
10,28,Free,N,1,0,0,0
10,29,Free,SSR,0,0,0,1
10,30,Free,N,1,0,0,0
10,31,Free,R,0,1,0,0
10,32,Paid,R,0,1,0,0
10,33,Paid,SR,0,0,1,0
10,34,Free,N,1,0,0,0
10,35,Paid,N,1,0,0,0
10,36,Free,SR,0,0,1,0
10,37,Free,N,1,0,0,0
10,38,Paid,R,0,1,0,0
10,39,Paid,N,1,0,0,0
10,40,Free,N,1,0,0,0
10,41,Free,N,1,0,0,0
10,42,Free,N,1,0,0,0
10,43,Free,N,1,0,0,0
10,44,Paid,N,1,0,0,0
10,45,Free,N,1,0,0,0
10,46,Free,N,1,0,0,0
10,47,Free,R,0,1,0,0
10,48,Free,N,1,0,0,0
10,49,Paid,N,1,0,0,0
10,50,Paid,SR,0,0,1,0
10,51,Free,N,1,0,0,0
10,52,Free,SR,0,0,1,0
10,53,Paid,N,1,0,0,0
10,54,Free,N,1,0,0,0
10,55,Free,N,1,0,0,0
10,56,Free,N,1,0,0,0
10,57,Paid,N,1,0,0,0
10,58,Free,N,1,0,0,0
10,59,Free,N,1,0,0,0
10,60,Free,SR,0,0,1,0
10,61,Free,N,1,0,0,0
10,62,Free,N,1,0,0,0
10,63,Free,SR,0,0,1,0
10,64,Paid,R,0,1,0,0
10,65,Free,N,1,0,0,0
10,66,Free,N,1,0,0,0
10,67,Free,R,0,1,0,0
10,68,Paid,SR,0,0,1,0
10,69,Free,SSR,0,0,0,1
10,70,Free,R,0,1,0,0
10,71,Paid,N,1,0,0,0
10,72,Free,N,1,0,0,0
10,73,Free,N,1,0,0,0
10,74,Paid,SSR,0,0,0,1
10,75,Paid,N,1,0,0,0
10,76,Free,N,1,0,0,0
10,77,Free,N,1,0,0,0
10,78,Free,N,1,0,0,0
10,79,Paid,R,0,1,0,0
10,80,Free,N,1,0,0,0
10,81,Paid,N,1,0,0,0
10,82,Free,N,1,0,0,0
10,83,Free,SR,0,0,1,0
10,84,Free,SR,0,0,1,0
10,85,Free,SR,0,0,1,0
10,86,Paid,N,1,0,0,0
10,87,Paid,SR,0,0,1,0
10,88,Free,SR,0,0,1,0
10,89,Paid,R,0,1,0,0
10,90,Free,R,0,1,0,0
10,91,Free,R,0,1,0,0
10,92,Paid,N,1,0,0,0
10,93,Paid,N,1,0,0,0
10,94,Free,N,1,0,0,0
10,95,Paid,N,1,0,0,0
10,96,Paid,N,1,0,0,0
11,1,Free,R,0,1,0,0
11,2,Paid,R,0,1,0,0
11,3,Free,N,1,0,0,0
11,4,Paid,R,0,1,0,0
11,5,Paid,N,1,0,0,0
11,6,Free,N,1,0,0,0
11,7,Free,R,0,1,0,0
11,8,Free,N,1,0,0,0
11,9,Free,N,1,0,0,0
11,10,Free,R,0,1,0,0
11,11,Paid,N,1,0,0,0
11,12,Free,N,1,0,0,0
11,13,Paid,N,1,0,0,0
11,14,Free,N,1,0,0,0
11,15,Free,N,1,0,0,0
11,16,Paid,SR,0,0,1,0
11,17,Free,N,1,0,0,0
11,18,Free,R,0,1,0,0
11,19,Paid,N,1,0,0,0
11,20,Free,N,1,0,0,0
11,21,Free,N,1,0,0,0
11,22,Free,N,1,0,0,0
11,23,Paid,R,0,1,0,0
11,24,Free,N,1,0,0,0
11,25,Free,R,0,1,0,0
11,26,Paid,N,1,0,0,0
11,27,Paid,SR,0,0,1,0
11,28,Paid,R,0,1,0,0
11,29,Free,R,0,1,0,0
11,30,Free,N,1,0,0,0
11,31,Paid,N,1,0,0,0
11,32,Free,R,0,1,0,0
11,33,Free,R,0,1,0,0
11,34,Free,N,1,0,0,0
11,35,Paid,N,1,0,0,0
11,36,Free,R,0,1,0,0
11,37,Paid,R,0,1,0,0
11,38,Free,N,1,0,0,0
11,39,Free,N,1,0,0,0
11,40,Paid,SR,0,0,1,0
11,41,Free,N,1,0,0,0
11,42,Free,N,1,0,0,0
11,43,Free,SR,0,0,1,0
11,44,Paid,R,0,1,0,0
11,45,Free,N,1,0,0,0
11,46,Paid,SSR,0,0,0,1
11,47,Free,N,1,0,0,0
11,48,Free,N,1,0,0,0
11,49,Free,N,1,0,0,0
11,50,Free,N,1,0,0,0
11,51,Free,R,0,1,0,0
11,52,Paid,N,1,0,0,0
11,53,Free,R,0,1,0,0
11,54,Free,R,0,1,0,0
11,55,Free,N,1,0,0,0
11,56,Paid,SR,0,0,1,0
11,57,Free,N,1,0,0,0
11,58,Paid,SSR,0,0,0,1
11,59,Free,N,1,0,0,0
11,60,Paid,N,1,0,0,0
11,61,Free,SR,0,0,1,0
11,62,Free,N,1,0,0,0
11,63,Paid,N,1,0,0,0
11,64,Free,N,1,0,0,0
11,65,Paid,N,1,0,0,0
11,66,Paid,SR,0,0,1,0
11,67,Free,R,0,1,0,0
11,68,Free,N,1,0,0,0
11,69,Free,SR,0,0,1,0
11,70,Free,N,1,0,0,0
11,71,Paid,SR,0,0,1,0
12,1,Paid,N,1,0,0,0
12,2,Free,N,1,0,0,0
12,3,Free,N,1,0,0,0
12,4,Paid,N,1,0,0,0
12,5,Paid,R,0,1,0,0
12,6,Free,R,0,1,0,0
12,7,Paid,SR,0,0,1,0
12,8,Paid,N,1,0,0,0
12,9,Free,SR,0,0,1,0
12,10,Free,R,0,1,0,0
12,11,Free,N,1,0,0,0
12,12,Free,N,1,0,0,0
12,13,Paid,SR,0,0,1,0
12,14,Free,N,1,0,0,0
12,15,Paid,R,0,1,0,0
12,16,Paid,SR,0,0,1,0
12,17,Free,R,0,1,0,0
12,18,Free,R,0,1,0,0
12,19,Free,R,0,1,0,0
12,20,Paid,N,1,0,0,0
12,21,Free,N,1,0,0,0
12,22,Free,N,1,0,0,0
12,23,Paid,N,1,0,0,0
12,24,Free,N,1,0,0,0
12,25,Free,N,1,0,0,0
12,26,Free,N,1,0,0,0
12,27,Free,N,1,0,0,0
12,28,Free,N,1,0,0,0
12,29,Free,SR,0,0,1,0
12,30,Paid,N,1,0,0,0
12,31,Paid,SR,0,0,1,0
12,32,Free,N,1,0,0,0
12,33,Free,R,0,1,0,0
12,34,Free,R,0,1,0,0
13,1,Free,N,1,0,0,0
13,2,Free,N,1,0,0,0
13,3,Paid,N,1,0,0,0
13,4,Free,R,0,1,0,0
13,5,Free,SSR,0,0,0,1
13,6,Paid,N,1,0,0,0
13,7,Free,N,1,0,0,0
13,8,Free,SR,0,0,1,0
13,9,Free,N,1,0,0,0
13,10,Free,R,0,1,0,0
13,11,Paid,N,1,0,0,0
13,12,Free,N,1,0,0,0
13,13,Free,N,1,0,0,0
13,14,Free,N,1,0,0,0
13,15,Paid,SR,0,0,1,0
13,16,Paid,R,0,1,0,0
13,17,Free,SR,0,0,1,0
13,18,Free,SSR,0,0,0,1
13,19,Paid,N,1,0,0,0
13,20,Paid,N,1,0,0,0
13,21,Paid,N,1,0,0,0
13,22,Paid,N,1,0,0,0
13,23,Paid,R,0,1,0,0
13,24,Free,N,1,0,0,0
13,25,Free,N,1,0,0,0
13,26,Paid,N,1,0,0,0
13,27,Paid,N,1,0,0,0
13,28,Paid,N,1,0,0,0
13,29,Free,N,1,0,0,0
13,30,Free,R,0,1,0,0
13,31,Free,N,1,0,0,0
13,32,Free,N,1,0,0,0
13,33,Paid,SR,0,0,1,0
13,34,Free,N,1,0,0,0
13,35,Paid,SR,0,0,1,0
13,36,Paid,N,1,0,0,0
13,37,Paid,N,1,0,0,0
13,38,Paid,SR,0,0,1,0
13,39,Free,N,1,0,0,0
13,40,Paid,N,1,0,0,0
13,41,Paid,N,1,0,0,0
13,42,Free,N,1,0,0,0
13,43,Free,N,1,0,0,0
13,44,Free,N,1,0,0,0
13,45,Free,N,1,0,0,0
13,46,Free,SR,0,0,1,0
13,47,Free,N,1,0,0,0
13,48,Free,N,1,0,0,0
13,49,Free,N,1,0,0,0
13,50,Free,R,0,1,0,0
13,51,Paid,N,1,0,0,0
13,52,Free,N,1,0,0,0
13,53,Free,R,0,1,0,0
13,54,Free,SR,0,0,1,0
13,55,Free,N,1,0,0,0
13,56,Free,R,0,1,0,0
13,57,Paid,N,1,0,0,0
13,58,Free,R,0,1,0,0
13,59,Free,R,0,1,0,0
13,60,Free,N,1,0,0,0
13,61,Free,R,0,1,0,0
13,62,Free,R,0,1,0,0
13,63,Paid,N,1,0,0,0
13,64,Free,N,1,0,0,0
13,65,Free,N,1,0,0,0
13,66,Free,SR,0,0,1,0
13,67,Free,SR,0,0,1,0
13,68,Paid,N,1,0,0,0
13,69,Free,R,0,1,0,0
13,70,Free,N,1,0,0,0
13,71,Paid,SR,0,0,1,0
13,72,Free,N,1,0,0,0
13,73,Free,N,1,0,0,0
14,1,Free,R,0,1,0,0
14,2,Free,N,1,0,0,0
14,3,Free,N,1,0,0,0
14,4,Free,N,1,0,0,0
14,5,Paid,SR,0,0,1,0
14,6,Free,N,1,0,0,0
14,7,Paid,N,1,0,0,0
14,8,Paid,N,1,0,0,0
14,9,Free,R,0,1,0,0
14,10,Paid,R,0,1,0,0
14,11,Free,N,1,0,0,0
14,12,Free,R,0,1,0,0
14,13,Free,SSR,0,0,0,1
14,14,Free,N,1,0,0,0
14,15,Free,N,1,0,0,0
14,16,Free,N,1,0,0,0
14,17,Free,N,1,0,0,0
14,18,Free,R,0,1,0,0
14,19,Free,SSR,0,0,0,1
14,20,Free,N,1,0,0,0
14,21,Free,N,1,0,0,0
14,22,Paid,N,1,0,0,0
14,23,Paid,R,0,1,0,0
14,24,Paid,N,1,0,0,0
14,25,Free,N,1,0,0,0
14,26,Free,N,1,0,0,0
14,27,Free,SR,0,0,1,0
14,28,Paid,N,1,0,0,0
14,29,Paid,R,0,1,0,0
14,30,Free,R,0,1,0,0
14,31,Free,SSR,0,0,0,1
14,32,Free,N,1,0,0,0
14,33,Free,N,1,0,0,0
14,34,Free,N,1,0,0,0
14,35,Paid,N,1,0,0,0
14,36,Paid,SR,0,0,1,0
14,37,Free,N,1,0,0,0
14,38,Free,N,1,0,0,0
14,39,Free,SR,0,0,1,0
14,40,Free,R,0,1,0,0
14,41,Paid,N,1,0,0,0
14,42,Free,N,1,0,0,0
14,43,Free,SR,0,0,1,0
14,44,Paid,N,1,0,0,0
14,45,Free,N,1,0,0,0
14,46,Free,R,0,1,0,0
14,47,Paid,SR,0,0,1,0
14,48,Paid,N,1,0,0,0
14,49,Free,N,1,0,0,0
14,50,Free,R,0,1,0,0
14,51,Paid,N,1,0,0,0
14,52,Paid,SR,0,0,1,0
14,53,Free,R,0,1,0,0
14,54,Paid,N,1,0,0,0
14,55,Paid,N,1,0,0,0
14,56,Paid,N,1,0,0,0
14,57,Free,SSR,0,0,0,1
14,58,Free,N,1,0,0,0
14,59,Paid,R,0,1,0,0
